id;merchant_reference;amount;created_at
e653f3e14bc4;padberg_group;102.29;2023-02-01
20b674c93ea6;padberg_group;433.21;2023-02-01
0b73fb1d3332;padberg_group;194.37;2023-02-01
9164f0688190;padberg_group;371.33;2023-02-01
04e9b88fe8c7;padberg_group;280.21;2023-02-01
b1804a279eea;padberg_group;353.65;2023-02-01
3ddec341c149;padberg_group;51.78;2023-02-01
febc73d466f3;padberg_group;465.19;2023-02-01
36a7ae97dad2;padberg_group;411.22;2023-02-01
a948cc2344d1;padberg_group;30.46;2023-02-01
f8b49b90a40b;padberg_group;79.52;2023-02-01
80ee4ab29774;padberg_group;60.02;2023-02-01
3ddd92ec8567;padberg_group;445.19;2023-02-01
a477663eb826;padberg_group;494.95;2023-02-01
cb8b09f9e37c;padberg_group;121.33;2023-02-01
064f2190de0f;padberg_group;445.0;2023-02-01
df06d39a6ab6;padberg_group;312.66;2023-02-01
6c0763c2aac1;padberg_group;472.31;2023-02-01
b52c37666366;padberg_group;334.9;2023-02-01
dd85c88d2b77;padberg_group;44.89;2023-02-02
adaf77dffa91;padberg_group;72.44;2023-02-02
e3926a273411;padberg_group;280.34;2023-02-02
1b32fb868555;padberg_group;97.9;2023-02-02
0a2f11f1ebc9;padberg_group;118.61;2023-02-02
829ee96ec2f2;padberg_group;86.11;2023-02-02
6b846ab2bed4;padberg_group;248.08;2023-02-02
433e0878783c;padberg_group;469.74;2023-02-02
161ee79b9955;padberg_group;286.57;2023-02-02
73e6f395a4d4;padberg_group;336.85;2023-02-02
b9c523fbb1d3;padberg_group;457.43;2023-02-03
247c473dab32;padberg_group;473.27;2023-02-03
eace16e2fe6e;padberg_group;103.21;2023-02-03
30ff54b0d073;padberg_group;268.1;2023-02-03
155998de434f;padberg_group;306.42;2023-02-03
2ba157b30ec1;padberg_group;255.81;2023-02-03
fe829ed66cf6;padberg_group;366.05;2023-02-03
8fbfcbcbe70d;padberg_group;300.64;2023-02-03
81b915c1ae44;padberg_group;276.77;2023-02-03
e48391299b19;padberg_group;496.81;2023-02-03
22352193a8e7;padberg_group;189.84;2023-02-03
0eca89d38912;padberg_group;59.1;2023-02-03
776da752f778;padberg_group;228.37;2023-02-03
9d2bb0da1543;padberg_group;300.92;2023-02-03
c810a58479db;padberg_group;443.99;2023-02-03
fb269ce37440;padberg_group;337.8;2023-02-03
f2e45b41a91a;padberg_group;78.48;2023-02-03
678ba4e9fe7d;padberg_group;246.39;2023-02-03
b0931d7999df;padberg_group;251.22;2023-02-03
c4e8c2d322df;padberg_group;104.8;2023-02-03
b373ddb05c6d;padberg_group;392.84;2023-02-03
67ef0af4f3b4;padberg_group;381.18;2023-02-03
7bdb14054533;padberg_group;498.55;2023-02-03
09712bcedad7;padberg_group;446.12;2023-02-03
05217315fc68;padberg_group;472.91;2023-02-03
952e7143af93;padberg_group;42.07;2023-02-03
98d212de114c;padberg_group;110.08;2023-02-03
77802d292c5f;padberg_group;45.62;2023-02-03
2c475712d0b0;padberg_group;228.39;2023-02-03
d46cf9246830;padberg_group;374.49;2023-02-03
e78b119b1b82;padberg_group;277.78;2023-02-03
9355131f1731;padberg_group;103.23;2023-02-03
7772bbed482e;padberg_group;349.2;2023-02-03
6f6582455460;padberg_group;274.3;2023-02-03
dd6a82e541af;padberg_group;258.97;2023-02-03
b6a01da39f2f;padberg_group;353.37;2023-02-03
3ea78e8c9631;padberg_group;57.92;2023-02-03
724cb0ff7d0d;padberg_group;132.51;2023-02-03
1d39497d0914;padberg_group;255.97;2023-02-03
1280716e00f8;padberg_group;92.28;2023-02-03
37e39d9ba497;padberg_group;340.09;2023-02-03
68f1568e3299;padberg_group;346.11;2023-02-03
69dd2d8d6406;padberg_group;292.34;2023-02-03
2920a1c66a43;padberg_group;294.54;2023-02-03
ae603651ab55;padberg_group;55.49;2023-02-03
89139d8c6464;padberg_group;95.96;2023-02-03
7deb874fb0ad;padberg_group;416.52;2023-02-03
92e80af2f3a8;padberg_group;192.17;2023-02-03
1e88ef930640;padberg_group;238.72;2023-02-03
c95f5c8e3167;padberg_group;124.62;2023-02-03
5c393aa6e877;padberg_group;334.94;2023-02-04
a51e9111acf6;padberg_group;464.95;2023-02-04
d91bfec80320;padberg_group;402.64;2023-02-04
3b70e0c413b6;padberg_group;288.29;2023-02-04
0611daf35edc;padberg_group;343.98;2023-02-04
3b41dae11d21;padberg_group;112.05;2023-02-04
0977c3e917e6;padberg_group;246.17;2023-02-04
84c482e564c5;padberg_group;379.14;2023-02-04
2933fb92a234;padberg_group;228.39;2023-02-04
5ff5bfdbec16;padberg_group;65.4;2023-02-04
3cc26a12fd41;padberg_group;217.87;2023-02-04
d4681ca69363;padberg_group;106.83;2023-02-04
6986bb3bb4b9;padberg_group;65.08;2023-02-04
79c52f21f5d2;padberg_group;486.95;2023-02-04
5e0fd585d4e7;padberg_group;228.49;2023-02-04
274c28086f66;padberg_group;48.95;2023-02-04
8bd7848a1697;padberg_group;174.87;2023-02-04
